ohms,degF
4552,187
4721,185
4896,183
5079,181
5270,179
5469,177
5679,175
5896,173
6123,171
6359,169
6607,167
6865,165
7135,163
7416,161
7711,159
8022,157
8345,155
8682,153
9035,151
9404,149
9791,147
10196,145
10620,143
11064,141
11533,139
12021,137
12533,135
13070,133
13632,131
14223,129
14842,127
15493,125
16175,123
16899,121
17653,119
18445,117
19278,115
20153,113
21073,111
22042,109
23061,107
24133,105
25272,103
26462,101
27715,99
29036,97
30428,95
31895,93
33443,91
35076,89
36799,87
38635,85
40557,83
42586,81
44731,79
46998,77
49395,75
51929,73
54611,71
57448,69
60480,67
63663,65
67035,63
70608,61
74395,59
78412,57
82672,55
87192,53
91991,51
97134,49
102549,47
108304,45
114422,43
120927,41
127847,39
135211,37
143050,35
151399,33
160377,31
169862,29
179975,27
190762,25
202271,23
214557,21
227677,19
241692,17
256671,15
272835,13
289975,11
308315,9
327948,7
348974,5
371501,3
395646,1
421538,-1
449314,-3
479403,-5
511432,-7
545838,-9
582814,-11
622569,-13
665333,-15
711353,-17
760902,-19
814274,-21
872330,-23
934386,-25
1001327,-27
1073571,-29
1151576,-31
1235843,-33
1326920,-35
1425406,-37
1531956,-39
