ohms,degF
8783,187
9121,185
9473,183
9841,181
10225,179
10627,177
11051,175
11490,173
11949,171
12430,169
12932,167
13458,165
14008,163
14584,161
15187,159
15824,157
16486,155
17180,153
17907,151
18670,149
19469,147
20308,145
21188,143
22111,141
23089,139
24107,137
25177,135
26300,133
27481,131
28722,129
30027,127
31399,125
32843,123
34376,121
35976,119
37660,117
39434,115
41303,113
43273,111
45349,109
47538,107
49847,105
52306,103
54878,101
57594,99
60461,97
63491,95
66692,93
70076,91
73654,89
77438,87
81479,85
85719,83
90208,81
94963,79
100000,77
105338,75
110998,73
117000,71
123368,69
130189,67
137367,65
144992,63
153092,61
161700,59
170853,57
180588,55
190946,53
201971,51
213819,49
226331,47
239664,45
253877,43
269035,41
285206,39
302466,37
320895,35
340581,33
361813,31
384316,29
408383,27
434134,25
461699,23
491217,21
522842,19
556739,17
593086,15
632442,13
674319,11
719284,9
767589,7
819505,5
875329,3
935383,1
1000019,-1
1069620,-3
1145306,-5
1226184,-7
1313405,-9
1407512,-11
1509102,-13
1618827,-15
1737397,-17
1865595,-19
2004274,-21
2155781,-23
2318444,-25
2494694,-27
2685770,-29
2893035,-31
3117987,-33
3362274,-35
3627711,-37
3916295,-39
