ohms,degF
476,249
489,247
503,245
518,243
533,241
548,239
564,237
580,235
597,233
615,231
632,229
651,227
671,225
691,223
712,221
734,219
757,217
780,215
804,213
829,211
855,209
882,207
910,205
939,203
969,201
1000,199
1033,197
1066,195
1101,193
1138,191
1175,189
1214,187
1255,185
1297,183
1341,181
1386,179
1433,177
1483,175
1534,173
1587,171
1642,169
1700,167
1760,165
1822,163
1887,161
1955,159
2026,157
2099,155
2176,153
2256,151
2339,149
2425,147
2516,145
2610,143
2709,141
2812,139
2920,137
3032,135
3149,133
3271,131
3398,129
3532,127
3671,125
3817,123
3971,121
4131,119
4298,117
4473,115
4656,113
4847,111
5048,109
5258,107
5479,105
5712,103
5954,101
6208,99
6474,97
6754,95
7047,93
7355,91
7679,89
8019,87
8379,85
8754,83
9149,81
9564,79
10000,77
10459,75
10942,73
11451,71
11987,69
12556,67
13151,65
13778,63
14439,61
15136,59
15872,57
16648,55
17467,53
18332,51
19254,49
20220,47
21241,45
22320,43
23462,41
24670,39
25948,37
27302,35
28735,33
30267,31
31878,29
33585,27
35395,25
37316,23
39354,21
41519,19
43817,17
46259,15
48879,13
51641,11
54578,9
57703,7
61031,5
64574,3
68348,1
72371,-1
76659,-3
81276,-5
86160,-7
91374,-9
96941,-11
102889,-13
109247,-15
116045,-17
123317,-19
131100,-21
139511,-23
148442,-25
158013,-27
168275,-29
179281,-31
191093,-33
203774,-35
217394,-37
232032,-39
