ohms,degF
233,187
241,185
250,183
259,181
268,179
278,177
288,175
299,173
310,171
321,169
333,167
346,165
359,163
373,161
387,159
402,157
418,155
434,153
451,151
469,149
488,147
507,145
528,143
549,141
571,139
595,137
619,135
645,133
672,131
700,129
730,127
761,125
794,123
828,121
864,119
902,117
942,115
983,113
1027,111
1073,109
1122,107
1172,105
1226,103
1283,101
1342,99
1405,97
1471,95
1540,93
1613,91
1690,89
1771,87
1858,85
1949,83
2044,81
2145,79
2252,77
2365,75
2484,73
2610,71
2743,69
2886,67
3035,65
3194,63
3361,61
3539,59
3727,57
3927,55
4139,53
4364,51
4605,49
4858,47
5128,45
5414,43
5719,41
6043,39
6388,37
6755,35
7146,33
7566,31
8011,29
8484,27
8989,25
9529,23
10104,21
10719,19
11376,17
12079,15
12837,13
13641,11
14502,9
15424,7
16412,5
17471,3
18607,1
19826,-1
21134,-3
22552,-5
24063,-7
25687,-9
27434,-11
29314,-13
31338,-15
33519,-17
35869,-19
38403,-21
41162,-23
44116,-25
47306,-27
50753,-29
54481,-31
58513,-33
62878,-35
67606,-37
72730,-39
